vector_row,product_index,id,article,domain,price,description,characteristics_text
25,25,s1_26,,Мебель,3400,"Картина-постер Северянин, Карелия 60×80 дуб","Тип товара: Картина-постер; Наименование: Северянин, Карелия; Габариты: 60×80; Цвет: дуб"
26,26,s1_27,,Мебель,28900,"Диван прямой Стокгольм 180×85 серый рогожка раскладной, прямой, скандинавский, раскладной книжка, скандинавский стиль","Тип товара: Диван прямой; Наименование: Стокгольм; Габариты: 180×85; Цвет: серый; Материал: рогожка; Особенности: раскладной, прямой, скандинавский, раскладной книжка, скандинавский стиль"
27,27,s1_28,,Мебель,27500,"Кровать Орхидея 160×200 графит ЛДСП с подъёмным механизмом, двуспальная с подъёмным механизмом","Тип товара: Кровать; Наименование: Орхидея; Габариты: 160×200; Цвет: графит; Материал: ЛДСП; Особенности: с подъёмным механизмом, двуспальная с подъёмным механизмом"
28,28,s1_29,,Мебель,12700,"Стеллаж многоуровневый Лофт 150×30×220 чёрный, дуб металл лофт","Тип товара: Стеллаж многоуровневый; Наименование: Лофт; Габариты: 150×30×220; Цвет: чёрный, дуб; Материал: металл; Особенности: лофт"
29,29,s1_30,,Мебель,22800,"Туалетный столик Ариэль 100×40×140 шампань LED, с зеркалом, с зеркалом и подсветкой LED","Тип товара: Туалетный столик; Наименование: Ариэль; Габариты: 100×40×140; Цвет: шампань; Особенности: LED, с зеркалом, с зеркалом и подсветкой LED"
30,30,s1_31,,Мебель,51400,"Шкаф-купе Стокгольм 220×60×220 дуб артизан 3-дверный, с зеркалом, 3-дверный с зеркалом","Тип товара: Шкаф-купе; Наименование: Стокгольм; Габариты: 220×60×220; Цвет: дуб артизан; Особенности: 3-дверный, с зеркалом, 3-дверный с зеркалом"
31,31,s1_32,,Мебель,42800,"Кровать с тумбами в изголовье Атлант 180×200 венге экокожа, ЛДСП","Тип товара: Кровать с тумбами в изголовье; Наименование: Атлант; Габариты: 180×200; Цвет: венге; Материал: экокожа, ЛДСП"
32,32,s1_33,,Мебель,9400,"Стол кухонный стеклянный Модерн 110×70 чёрный, прозрачный стекло","Тип товара: Стол кухонный стеклянный; Наименование: Модерн; Габариты: 110×70; Цвет: чёрный, прозрачный; Материал: стекло"
33,33,s1_34,,Мебель,42700,"Диван прямой 3-местный Норд горчичный велюр 3-местный, прямой","Тип товара: Диван прямой 3-местный; Наименование: Норд; Цвет: горчичный; Материал: велюр; Особенности: 3-местный, прямой"
34,34,s1_35,,Мебель,3700,Скульптура декоративная Тоскана 35 см белый керамика абстракция,Тип товара: Скульптура декоративная; Наименование: Тоскана; Габариты: 35 см; Цвет: белый; Материал: керамика; Особенности: абстракция
35,35,s1_36,,Мебель,58400,"Диван-канапе Орхидея золото гобелен, лён 2-местный, ножки золото, патина, 2-местный с резьбой, ножки патина","Тип товара: Диван-канапе; Наименование: Орхидея; Цвет: золото; Материал: гобелен, лён; Особенности: 2-местный, ножки золото, патина, 2-местный с резьбой, ножки патина"
36,36,s1_37,,Мебель,5200,Покрывало летнее Тюльпан 240×260 зелёный лён,Тип товара: Покрывало летнее; Наименование: Тюльпан; Габариты: 240×260; Цвет: зелёный; Материал: лён
37,37,s1_38,,Мебель,24700,Комод Парма 120×45×90 дуб артизан,Тип товара: Комод; Наименование: Парма; Габариты: 120×45×90; Цвет: дуб артизан
38,38,s1_39,,Мебель,13700,"Стол угловой компьютерный 150×120 венге ЛДСП угловой, с надстройкой","Тип товара: Стол угловой компьютерный; Габариты: 150×120; Цвет: венге; Материал: ЛДСП; Особенности: угловой, с надстройкой"
39,39,s1_40,,Мебель,48700,Стилный диван Линкольн 240×95 оливковый велюр,Тип товара: Стилный диван; Наименование: Линкольн; Габариты: 240×95; Цвет: оливковый; Материал: велюр
40,40,s1_41,,Мебель,37900,"Шкаф-витрина Аделаида 90×40×200 белый массив классика, состаренный, массив сосны состаренный","Тип товара: Шкаф-витрина; Наименование: Аделаида; Габариты: 90×40×200; Цвет: белый; Материал: массив; Особенности: классика, состаренный, массив сосны состаренный"
41,41,s1_42,,Мебель,7400,"Книжный шкаф подвесной Лофт 100×25×80 чёрный, дуб металл подвесной, лофт","Тип товара: Книжный шкаф подвесной; Наименование: Лофт; Габариты: 100×25×80; Цвет: чёрный, дуб; Материал: металл; Особенности: подвесной, лофт"
42,42,s1_43,,Мебель,32700,"Кресло-реклайнер Лион графит рогожка, ткань с механизмом качания","Тип товара: Кресло-реклайнер; Наименование: Лион; Цвет: графит; Материал: рогожка, ткань; Особенности: с механизмом качания"
43,43,s1_44,,Мебель,3700,Корзина для белья Венето 40×30×60 серый ткань плетёная с тканевым мешком,Тип товара: Корзина для белья; Наименование: Венето; Габариты: 40×30×60; Цвет: серый; Материал: ткань; Особенности: плетёная с тканевым мешком
44,44,s1_45,,Мебель,26700,"Журнальный столик Палермо 100×55 чёрный мрамор каррара, металл прямоугольный","Тип товара: Журнальный столик; Наименование: Палермо; Габариты: 100×55; Цвет: чёрный; Материал: мрамор каррара, металл; Особенности: прямоугольный"
45,45,s1_46,,Мебель,32400,"Журнальный столик мраморный Орбита 100×55 чёрный, серый мрамор, металл прямоугольный","Тип товара: Журнальный столик мраморный; Наименование: Орбита; Габариты: 100×55; Цвет: чёрный, серый; Материал: мрамор, металл; Особенности: прямоугольный"
46,46,s1_47,,Мебель,3400,"Подставка под монитор Лофт бамбук USB-хаб, лофт, с ящиком и USB-хабом","Тип товара: Подставка под монитор; Наименование: Лофт; Материал: бамбук; Особенности: USB-хаб, лофт, с ящиком и USB-хабом"
47,47,s1_48,,Мебель,9700,"Торшер с полкой Кокон латунь латунь, дерево с полкой","Тип товара: Торшер с полкой; Наименование: Кокон; Цвет: латунь; Материал: латунь, дерево; Особенности: с полкой"
48,48,s1_49,,Мебель,3400,"Скатерть фуршетная Премиум 320×180 белый, золото атлас с каймой","Тип товара: Скатерть фуршетная; Наименование: Премиум; Габариты: 320×180; Цвет: белый, золото; Особенности: атлас с каймой"
49,49,s1_50,,Мебель,46500,Двуспальная кровать Дакота 180×200 серый каретная стяжка,Тип товара: Двуспальная кровать; Наименование: Дакота; Габариты: 180×200; Цвет: серый; Особенности: каретная стяжка
50,50,s1_51,,Мебель,28400,Кровать,Тип товара: Кровать
51,51,s1_52,,Мебель,14200,"Стеллаж угловой 5-уровневый Премиум 70×70×210 латунь, орех латунь угловой, с латунью","Тип товара: Стеллаж угловой 5-уровневый; Наименование: Премиум; Габариты: 70×70×210; Цвет: латунь, орех; Материал: латунь; Особенности: угловой, с латунью"
52,52,s1_53,,Мебель,4200,"Стул банкетный Шиавари белый бархат с подушкой, для торжеств","Тип товара: Стул банкетный; Наименование: Шиавари; Цвет: белый; Материал: бархат; Особенности: с подушкой, для торжеств"
53,53,s1_54,,Мебель,36400,"Зеркало-трюмо Версаль 90×40×175 орех с подсветкой, классика, патина, с подсветкой и тумбой, классика патина","Тип товара: Зеркало-трюмо; Наименование: Версаль; Габариты: 90×40×175; Цвет: орех; Особенности: с подсветкой, классика, патина, с подсветкой и тумбой, классика патина"
54,54,s1_55,,Мебель,47800,"Сервант Версаль 120×45×190 золото, орех классический, с патиной","Тип товара: Сервант; Наименование: Версаль; Габариты: 120×45×190; Цвет: золото, орех; Особенности: классический, с патиной"
55,55,s1_56,,Мебель,48700,"Шкаф-горка Бергамо 280 см белый, дуб артизан с подсветкой, матовый","Тип товара: Шкаф-горка; Наименование: Бергамо; Габариты: 280 см; Цвет: белый, дуб артизан; Особенности: с подсветкой, матовый"
56,56,s1_57,,Мебель,7400,"Зеркало навесное Аметист 60×100 овальное, овальное в раме барокко","Тип товара: Зеркало навесное; Наименование: Аметист; Габариты: 60×100; Особенности: овальное, овальное в раме барокко"
57,57,s1_58,,Мебель,22400,"Кресло Болонья коричневый, хром металл","Тип товара: Кресло; Наименование: Болонья; Цвет: коричневый, хром; Материал: металл"
58,58,s1_59,,Мебель,52400,"Диван Венеция гобелен, лён 3-местный, классический 3-местный","Тип товара: Диван; Наименование: Венеция; Материал: гобелен, лён; Особенности: 3-местный, классический 3-местный"
59,59,s1_60,,Мебель,36800,Кровать Аврора 160×200 пудровый велюр капитоне,Тип товара: Кровать; Наименование: Аврора; Габариты: 160×200; Цвет: пудровый; Материал: велюр; Особенности: капитоне
60,60,s1_61,,Мебель,11800,"Кухонный стол-трансформер Прага 90×60 белый раздвижной, раздвижной до 140","Тип товара: Кухонный стол-трансформер; Наименование: Прага; Габариты: 90×60; Цвет: белый; Особенности: раздвижной, раздвижной до 140"
61,61,s1_62,,Мебель,4400,"Декоративный глобус Тоскана 30×30×40 металл, дерево","Тип товара: Декоративный глобус; Наименование: Тоскана; Габариты: 30×30×40; Материал: металл, дерево"
62,62,s1_63,,Мебель,14700,Шкаф пенал узкий Стокгольм 40×40×210 ясень светлый скандинавский,Тип товара: Шкаф пенал узкий; Наименование: Стокгольм; Габариты: 40×40×210; Цвет: ясень светлый; Особенности: скандинавский
63,63,s1_64,,Мебель,5400,Картина модульная триптих Город 3×40×80,Тип товара: Картина модульная триптих; Наименование: Город; Габариты: 3×40×80
64,64,s1_65,,Мебель,24700,"Зеркало-трюмо Аделаида 80×40×160 бук бавария с пуфом, с пуфом-табуретом","Тип товара: Зеркало-трюмо; Наименование: Аделаида; Габариты: 80×40×160; Цвет: бук бавария; Особенности: с пуфом, с пуфом-табуретом"
65,65,s1_66,,Мебель,44200,Двуспальная кровать Модерн 180×200 белый экокожа,Тип товара: Двуспальная кровать; Наименование: Модерн; Габариты: 180×200; Цвет: белый; Материал: экокожа
66,66,s1_67,,Мебель,48700,"Шкаф-горка в гостиную Контур 280×40×195 белый, венге глянец","Тип товара: Шкаф-горка в гостиную; Наименование: Контур; Габариты: 280×40×195; Цвет: белый, венге; Особенности: глянец"
67,67,s1_68,,Мебель,13700,"Шкаф балконный Веранда 70×70×180 белый, венге угловой","Тип товара: Шкаф балконный; Наименование: Веранда; Габариты: 70×70×180; Цвет: белый, венге; Особенности: угловой"
68,68,s1_69,,Мебель,58700,"Диван-канапе Версаль бордо бархат 2-местный, бордовый с золотыми кистями, ножки резные","Тип товара: Диван-канапе; Наименование: Версаль; Цвет: бордо; Материал: бархат; Особенности: 2-местный, бордовый с золотыми кистями, ножки резные"
69,69,s1_70,,Мебель,11400,"Зеркало с подсветкой Полярная D80 латунь латунь с подсветкой, круглое","Тип товара: Зеркало с подсветкой; Наименование: Полярная; Габариты: D80; Цвет: латунь; Материал: латунь; Особенности: с подсветкой, круглое"
70,70,s1_71,,Мебель,3800,Подсвечник напольный Версаль 70 см бронза бронза напольный,Тип товара: Подсвечник напольный; Наименование: Версаль; Габариты: 70 см; Цвет: бронза; Материал: бронза; Особенности: напольный
71,71,s1_72,,Мебель,8700,"Ваза напольная Гера 80 см чёрный керамика напольная, матовый, матовый с серебряным орнаментом","Тип товара: Ваза напольная; Наименование: Гера; Габариты: 80 см; Цвет: чёрный; Материал: керамика; Особенности: напольная, матовый, матовый с серебряным орнаментом"
72,72,s1_73,,Мебель,5300,Комод узкий Эконом 40×40×100 белый эконом,Тип товара: Комод узкий; Наименование: Эконом; Габариты: 40×40×100; Цвет: белый; Особенности: эконом
73,73,s1_74,,Мебель,11700,Банкетка длинная Стокгольм 150×40×45 молочный рогожка ножки бук,Тип товара: Банкетка длинная; Наименование: Стокгольм; Габариты: 150×40×45; Цвет: молочный; Материал: рогожка; Особенности: ножки бук
74,74,s1_75,,Мебель,18700,"Кресло-папасан Бали D110 горчичный, натуральный велюр, натуральный ротанг","Тип товара: Кресло-папасан; Наименование: Бали; Габариты: D110; Цвет: горчичный, натуральный; Материал: велюр, натуральный ротанг"
75,75,s1_76,,Мебель,34800,"Журнальный столик мраморный Орхидея 100×55 латунь мрамор каррара, латунь овальный","Тип товара: Журнальный столик мраморный; Наименование: Орхидея; Габариты: 100×55; Цвет: латунь; Материал: мрамор каррара, латунь; Особенности: овальный"
76,76,s1_77,,Мебель,9700,"Зеркало с LED-подсветкой Сиена 80×60 LED, антипар, сенсорный выключатель","Тип товара: Зеркало с LED-подсветкой; Наименование: Сиена; Габариты: 80×60; Особенности: LED, антипар, сенсорный выключатель"
77,77,s1_78,,Мебель,15800,"Банкетка длинная Лион 200×40×45 чёрный, серый рогожка, металл","Тип товара: Банкетка длинная; Наименование: Лион; Габариты: 200×40×45; Цвет: чёрный, серый; Материал: рогожка, металл"
78,78,s1_79,,Мебель,36400,"Двухъярусная кровать Дуэт 90×200 серый, голубой с диваном внизу","Тип товара: Двухъярусная кровать; Наименование: Дуэт; Габариты: 90×200; Цвет: серый, голубой; Особенности: с диваном внизу"
79,79,s1_80,,Мебель,5200,"Стеллаж лестница Прага белый, натуральный","Тип товара: Стеллаж лестница; Наименование: Прага; Цвет: белый, натуральный"
80,80,s1_81,,Мебель,14200,"Диван детский раскладной Малыш 140×80 ткань раскладной, с принтом машинки","Тип товара: Диван детский раскладной; Наименование: Малыш; Габариты: 140×80; Материал: ткань; Особенности: раскладной, с принтом машинки"
81,81,s1_82,,Мебель,5700,"Потолочный светильник Модерн D40 белый LED, пульт, LED тарелка","Тип товара: Потолочный светильник; Наименование: Модерн; Габариты: D40; Цвет: белый; Особенности: LED, пульт, LED тарелка"
82,82,s1_83,,Мебель,13400,"Зеркало напольное Лагуна 50×170 латунь металл, латунь напольное","Тип товара: Зеркало напольное; Наименование: Лагуна; Габариты: 50×170; Цвет: латунь; Материал: металл, латунь; Особенности: напольное"
83,83,s1_84,,Мебель,11200,Зеркало-трюмо в полный рост 50×170 латунь латунь,Тип товара: Зеркало-трюмо в полный рост; Габариты: 50×170; Цвет: латунь; Материал: латунь
84,84,s1_85,,Мебель,58400,"Сервант с подсветкой Тоскана 140×45×185 дуб, натуральный массив дуба с подсветкой, состаренный, массив дуба","Тип товара: Сервант с подсветкой; Наименование: Тоскана; Габариты: 140×45×185; Цвет: дуб, натуральный; Материал: массив дуба; Особенности: с подсветкой, состаренный, массив дуба"
85,85,s1_86,,Мебель,33700,"Кресло Lounge Палаццо пыльно-розовый бархат, массив полукруглое, ножки массив","Тип товара: Кресло Lounge; Наименование: Палаццо; Цвет: пыльно-розовый; Материал: бархат, массив; Особенности: полукруглое, ножки массив"
86,86,s1_87,,Мебель,6900,"Картина-триптих Северянин, Туман над озером 3×40×80","Тип товара: Картина-триптих; Наименование: Северянин, Туман над озером; Габариты: 3×40×80"
87,87,s1_88,,Мебель,26800,Кровать-бокс Авангард 90×200 графит рогожка с матрасом и ящиком,Тип товара: Кровать-бокс; Наименование: Авангард; Габариты: 90×200; Цвет: графит; Материал: рогожка; Особенности: с матрасом и ящиком
88,88,s1_89,,Мебель,47800,Диван-аккордеон Триумф 200×90 изумрудный велюр на пружинах,Тип товара: Диван-аккордеон; Наименование: Триумф; Габариты: 200×90; Цвет: изумрудный; Материал: велюр; Особенности: на пружинах
89,89,s1_90,,Мебель,3200,"Складной стул для балкона Капри бирюзовый лён складной, для балкона","Тип товара: Складной стул для балкона; Наименование: Капри; Цвет: бирюзовый; Материал: лён; Особенности: складной, для балкона"
90,90,s1_91,,Мебель,15800,Кресло геймерское Дакота с подушкой под шею,Тип товара: Кресло геймерское; Наименование: Дакота; Особенности: с подушкой под шею
91,91,s1_92,,Мебель,18400,"Банкетка длинная Версаль 180×40×50 белый, хром экокожа","Тип товара: Банкетка длинная; Наименование: Версаль; Габариты: 180×40×50; Цвет: белый, хром; Материал: экокожа"
92,92,s1_93,,Мебель,2700,Складной столик Капри 40×40×60 искусственный ротанг складной,Тип товара: Складной столик; Наименование: Капри; Габариты: 40×40×60; Материал: искусственный ротанг; Особенности: складной
93,93,s1_94,,Мебель,42800,"Диван-канапе Камелия пыльно-розовый, золото бархат ножки золото","Тип товара: Диван-канапе; Наименование: Камелия; Цвет: пыльно-розовый, золото; Материал: бархат; Особенности: ножки золото"
94,94,s1_95,,Мебель,4700,"Стул-кресло Патио бежевый искусственный ротанг для балкона, с подушкой","Тип товара: Стул-кресло; Наименование: Патио; Цвет: бежевый; Материал: искусственный ротанг; Особенности: для балкона, с подушкой"
95,95,s1_96,,Мебель,87400,Барная стойка кухонная Милан 240×60×110 мрамор каррара,Тип товара: Барная стойка кухонная; Наименование: Милан; Габариты: 240×60×110; Материал: мрамор каррара
96,96,s1_97,,Мебель,29900,Двуспальная кровать Прага 140×200 пыльно-розовый велюр,Тип товара: Двуспальная кровать; Наименование: Прага; Габариты: 140×200; Цвет: пыльно-розовый; Материал: велюр
97,97,s1_98,,Мебель,1400,"Подушка декоративная 45×45 натуральный лён вышивка, вышивка цветок","Тип товара: Подушка декоративная; Габариты: 45×45; Цвет: натуральный; Материал: лён; Особенности: вышивка, вышивка цветок"
98,98,s1_99,,Мебель,38900,"Кресло ушастое Камелот графит велюр, массив бука ножки массив, с подушкой, ножки массив бука","Тип товара: Кресло ушастое; Наименование: Камелот; Цвет: графит; Материал: велюр, массив бука; Особенности: ножки массив, с подушкой, ножки массив бука"
99,99,s1_100,,Мебель,26700,"Зеркало-трюмо Полярная 70×40×155 белый LED, с подсветкой LED, сенсор, матовый, с подсветкой LED и сенсором","Тип товара: Зеркало-трюмо; Наименование: Полярная; Габариты: 70×40×155; Цвет: белый; Особенности: LED, с подсветкой LED, сенсор, матовый, с подсветкой LED и сенсором"
100,100,s1_101,,Мебель,4700,"Барный стул Лофт металл, дерево лофт, на металлокаркасе","Тип товара: Барный стул; Наименование: Лофт; Материал: металл, дерево; Особенности: лофт, на металлокаркасе"
101,101,s1_102,,Мебель,17800,"Шкаф для одежды Феникс 90×55×210 белый, голубой 2-дверный","Тип товара: Шкаф для одежды; Наименование: Феникс; Габариты: 90×55×210; Цвет: белый, голубой; Особенности: 2-дверный"
102,102,s1_103,,Мебель,3700,"Багажная полка гостиничная складная 60×40×50 хром металл складная, гостиничная","Тип товара: Багажная полка гостиничная складная; Габариты: 60×40×50; Цвет: хром; Материал: металл; Особенности: складная, гостиничная"
103,103,s1_104,,Мебель,2900,"Журнальница Тоскана 40×30×35 ротанг напольная, напольная плетёная","Тип товара: Журнальница; Наименование: Тоскана; Габариты: 40×30×35; Материал: ротанг; Особенности: напольная, напольная плетёная"
104,104,s1_105,,Мебель,67900,Двуспальная кровать Малибу 200×200 изумрудный бархат,Тип товара: Двуспальная кровать; Наименование: Малибу; Габариты: 200×200; Цвет: изумрудный; Материал: бархат
105,105,s1_106,,Мебель,47800,"Стол обеденный круглый Тоскана D120 дуб массив дуба раздвижной, круглый, раздвижной до 150, массив дуба","Тип товара: Стол обеденный круглый; Наименование: Тоскана; Габариты: D120; Цвет: дуб; Материал: массив дуба; Особенности: раздвижной, круглый, раздвижной до 150, массив дуба"
106,106,s1_107,,Мебель,82400,"Сервант Тоскана-Lux 180×45×210 белый LED, с подсветкой LED, классика, с патиной","Тип товара: Сервант; Наименование: Тоскана-Lux; Габариты: 180×45×210; Цвет: белый; Особенности: LED, с подсветкой LED, классика, с патиной"
107,107,s1_108,,Мебель,5800,"Зеркало декоративное Флоренция D70 латунь металл, латунь","Тип товара: Зеркало декоративное; Наименование: Флоренция; Габариты: D70; Цвет: латунь; Материал: металл, латунь"
108,108,s1_109,,Мебель,33700,Шкаф 3-створчатый распашной Милан 150×55×210 орех 3-створчатый,Тип товара: Шкаф 3-створчатый распашной; Наименование: Милан; Габариты: 150×55×210; Цвет: орех; Особенности: 3-створчатый
109,109,s1_110,,Мебель,36400,"Кровать Сицилия 160×200 бежевый экокожа с подъёмным механизмом, классика","Тип товара: Кровать; Наименование: Сицилия; Габариты: 160×200; Цвет: бежевый; Материал: экокожа; Особенности: с подъёмным механизмом, классика"
110,110,s1_111,,Мебель,12400,"Стол журнальный сервировочный на колёсах 70×50×65 хром, дуб артизан металл на колёсах","Тип товара: Стол журнальный сервировочный на колёсах; Габариты: 70×50×65; Цвет: хром, дуб артизан; Материал: металл; Особенности: на колёсах"
111,111,s1_112,,Мебель,33200,"Кровать Лофт 160×200 металл лофт, на металлокаркасе","Тип товара: Кровать; Наименование: Лофт; Габариты: 160×200; Материал: металл; Особенности: лофт, на металлокаркасе"
112,112,s1_113,,Мебель,15700,"Тумба-подставка под ТВ Норд 180 см ясень светлый скандинавский, скандинавский стиль","Тип товара: Тумба-подставка под ТВ; Наименование: Норд; Габариты: 180 см; Цвет: ясень светлый; Особенности: скандинавский, скандинавский стиль"
113,113,s1_114,,Мебель,9800,"Тумба гостиничная прикроватная 50×40×55 дуб артизан USB, гостиничная, с USB и розеткой","Тип товара: Тумба гостиничная прикроватная; Габариты: 50×40×55; Цвет: дуб артизан; Особенности: USB, гостиничная, с USB и розеткой"
114,114,s1_115,,Мебель,37400,Диван-кровать прямой Айова 200×95 серый рогожка прямой,Тип товара: Диван-кровать прямой; Наименование: Айова; Габариты: 200×95; Цвет: серый; Материал: рогожка; Особенности: прямой
115,115,s1_116,,Мебель,2400,"Журнальница Венеция 40×15×50 дуб артизан 3-секционная, настенная, 3-секционная настенная","Тип товара: Журнальница; Наименование: Венеция; Габариты: 40×15×50; Цвет: дуб артизан; Особенности: 3-секционная, настенная, 3-секционная настенная"
116,116,s1_117,,Мебель,24500,"Консоль Беверли 140×35×80 латунь, орех шпон ореха, латунь","Тип товара: Консоль; Наименование: Беверли; Габариты: 140×35×80; Цвет: латунь, орех; Материал: шпон ореха, латунь"
117,117,s1_118,,Мебель,6400,"Навесной шкафчик Венето 60×20×60 белый для ванной, глянец","Тип товара: Навесной шкафчик; Наименование: Венето; Габариты: 60×20×60; Цвет: белый; Особенности: для ванной, глянец"
118,118,s1_119,,Мебель,23400,"Стол туалетный Орхидея белый с зеркалом, матовый, с зеркалом-бабочка и ящиками","Тип товара: Стол туалетный; Наименование: Орхидея; Цвет: белый; Особенности: с зеркалом, матовый, с зеркалом-бабочка и ящиками"
