Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽)
Гостиная;Диван прямой;Линкольн;240×95 см;оливковый;велюр;еврокнижка;-;48700
Гостиная;Шкаф-витрина;Аделаида;90×40×200 см;состаренный белый;массив сосны;классика;классика;37900
Кабинет;Шкаф книжный;Лофт;100×25×80 см;чёрный/дуб;металл/дерево;подвесной;лофт;7400
Гостиная;Кресло-реклайнер;Лион;-;графит;рогожка;механизм качания;-;32700
Ванная;Корзина для белья;Венето;40×30×60 см;серый;плетёная/ткань;с тканевым мешком;-;3700
Гостиная;Журнальный столик;Палермо;100×55 см;белый/чёрный;мрамор каррара/металл;прямоугольный;-;26700
Гостиная;Журнальный столик;Орбита;100×55 см;серый/чёрный;мрамор/металл;прямоугольный;-;32400
Кабинет;Подставка под монитор;Лофт;-;натуральный;бамбук;с ящиком и USB-хабом;лофт;3400
Гостиная;Торшер;Кокон;-;латунь/дерево;металл/дерево;3 светильника, с полкой;-;9700
Текстиль;Скатерть;Премиум;320×180 см;белый с золотой каймой;атлас;фуршетная;-;3400
Спальня;Кровать;Дакота;180×200 см;серый;ткань/ЛДСП;изголовье каретная стяжка;-;46500
Гостиная;Стеллаж;Премиум;70×70×210 см;орех/латунь;дерево/металл;угловой, 5-уровневый;-;14200
Кухня;Стул банкетный;Шиавари;-;белый/бархат;дерево/бархат;с подушкой, штабелируемый;для торжеств;4200
Спальня;Зеркало-трюмо;Версаль;90×40×175 см;орех патина;дерево/стекло;с подсветкой и тумбой;классика;36400
Гостиная;Сервант;Версаль;120×45×190 см;орех с золотой патиной;дерево/стекло;классический;классика;47800
Гостиная;Шкаф-горка;Бергамо;280 см;белый матовый/дуб артизан;ЛДСП/стекло;с подсветкой;-;48700
Прихожая;Зеркало;Аметист;60×100 см;-;дерево/стекло;овальное, рама барокко;классика;7400
Кабинет;Кресло офисное;Болонья;-;коричневая;кожа/металл;руководительское, хром;-;22400
Гостиная;Диван;Венеция;3-местный;-;гобелен/бук;классический;классика;52400
Спальня;Кровать;Аврора;160×200 см;пудровый;велюр;мягкое изголовье капитоне;-;36800
Кухня;Стол-трансформер;Прага;90×60–140 см;белый;ЛДСП/металл;раздвижной;-;11800
Декор;Глобус;Тоскана;30×30×40 см;-;дерево/металл;ретро-стиль;-;4400
Прихожая;Шкаф-пенал;Стокгольм;40×40×210 см;ясень светлый;ЛДСП;узкий;скандинавский;14700
Декор;Картина модульная;Город;3×40×80 см;-;холст;триптих, ночной мегаполис;-;5400
Гостиная;Кресло;Будапешт;-;графит;велюр/дерево;классическое, резные ножки;классика;850000
Спальня;Зеркало-трюмо;Аделаида;80×40×160 см;бук бавария;дерево/стекло;с пуфом-табуретом;-;24700
Спальня;Кровать;Модерн;180×200 см;белая;экокожа/ЛДСП;ортопедическое основание;-;44200
Гостиная;Шкаф-горка;Контур;280×40×195 см;белый глянец/венге;ЛДСП;в гостиную;-;48700
Балкон;Шкаф;Веранда;70×70×180 см;белый/венге;ЛДСП;угловой, реечные дверцы;-;13700
Гостиная;Диван-канапе;Версаль;2-местный;бордовый;бархат/дерево;золотые кисти, резные ножки;классика;58700
Прихожая;Зеркало;Полярная;D80 см;-;латунь/стекло;круглое, с подсветкой;-;11400
Декор;Подсвечник;Версаль;70 см;бронза;металл;напольный, кованый;классика;3800
Декор;Ваза;Гера;80 см;чёрный матовый/серебро;керамика;напольная, с орнаментом;-;8700
Спальня;Комод;Эконом;40×40×100 см;белый;ЛДСП;узкий;эконом;5300
Гостиная;Банкетка;Стокгольм;150×40×45 см;молочная;рогожка/бук;ножки бук;скандинавский;11700
Гостиная;Кресло-папасан;Бали;D110 см;горчичный;ротанг/велюр;натуральный ротанг;-;18700
Гостиная;Журнальный столик;Орхидея;100×55 см;белый/латунь;мрамор каррара/латунь;овальный;-;34800
Ванная;Зеркало;Сиена;80×60 см;-;стекло/металл;LED-подсветка, антипар, сенсор;-;9700
Гостиная;Банкетка;Лион;200×40×45 см;серая;рогожка/металл;ножки металл чёрный;-;15800
Детская;Кровать двухъярусная;Дуэт;90×200 см;серый/голубой;ЛДСП/ткань;с диваном внизу;детский;36400
Гостиная;Стеллаж;Прага;-;белый/натуральный;дерево/металл;лестница, 5 полок;-;5200
Детская;Диван;Малыш;140×80 см;принт машинки;ткань;раскладной, ящик для белья;детский;14200
Освещение;Светильник потолочный;Модерн;D40 см;белый;пластик/LED;LED тарелка, пульт;-;5700
Прихожая;Зеркало напольное;Лагуна;50×170 см;-;металл латунь/стекло;рама латунь;-;13400
Спальня;Зеркало-трюмо;-;50×170 см;-;латунь/стекло;в полный рост, рама латунь;-;11200
Гостиная;Сервант;Тоскана;140×45×185 см;натуральный состаренный;массив дуба;с подсветкой;классика;58400
Гостиная;Кресло Lounge;Палаццо;-;пыльно-розовый;бархат/дерево;полукруглое, ножки массив;-;33700
Декор;Картина-триптих;Северянин;3×40×80 см;-;холст;Туман над озером;-;6900
Спальня;Кровать-бокс;Авангард;90×200 см;графит;рогожка/ЛДСП;с матрасом и ящиком;-;26800
Гостиная;Диван-аккордеон;Триумф;200×90 см;изумрудный;велюр;ортопедический, пружинный;-;47800
Балкон;Стул складной;Капри;-;бирюзовый;алюминий/текстилен;для балкона;-;3200
Кабинет;Кресло геймерское;Дакота;-;чёрно-красный;ткань/пластик;с подушкой под шею;-;15800
Гостиная;Банкетка;Версаль;180×40×50 см;белая;экокожа/металл;ножки хром;-;18400
Балкон;Столик складной;Капри;40×40×60 см;-;искусственный ротанг;приставной;-;2700
Гостиная;Диван-канапе;Камелия;1.5-местный;пыльно-розовый;бархат/металл;ножки золото;классика;42800
Балкон;Стул-кресло;Патио;-;беж;искусственный ротанг;с подушкой;-;4700
Кухня;Барная стойка;Милан;240×60×110 см;белый/чёрный;искусственный мрамор;с баром;-;87400
Спальня;Кровать;Прага;140×200 см;пыльно-розовый;велюр/ЛДСП;мягкое изголовье;-;29900
Текстиль;Подушка декоративная;-;45×45 см;-;лён;вышивка цветок;-;1400
Гостиная;Кресло;Камелот;-;графит;велюр/дерево;ушастое, с подушкой, ножки бук;-;38900
Спальня;Зеркало-трюмо;Полярная;70×40×155 см;белый матовый;МДФ/стекло;LED подсветка, сенсор;-;26700
Кухня;Стул барный;Лофт;-;дерево/чёрный;металл/дерево;на металлокаркасе;лофт;4700
Детская;Шкаф;Феникс;90×55×210 см;голубой/белый;ЛДСП;подростковый, 2-дверный;детский;17800
Гостиница;Багажная полка;-;60×40×50 см;-;ясень/металл хром;складная;гостиничный;3700
Гостиная;Журнальница;Тоскана;40×30×35 см;-;ротанг;напольная, плетёная;-;2900
Спальня;Кровать;Малибу;200×200 см;изумрудный;бархат/ЛДСП;king-size;-;67900
Кухня;Стол обеденный;Тоскана;D120–150 см;-;массив дуба;круглый, раздвижной;-;47800
Гостиная;Сервант;Тоскана-Lux;180×45×210 см;белый с патиной;дерево/стекло;с подсветкой LED;классика;82400
Декор;Зеркало декоративное;Флоренция;D70 см;-;латунь;солнце;-;5800
Спальня;Шкаф;Милан;150×55×210 см;орех итальянский;ЛДСП;3-створчатый, распашной;-;33700
Спальня;Кровать;Сицилия;160×200 см;бежевая;экокожа/ЛДСП;подъёмный механизм;классика;36400
Гостиная;Стол журнальный;-;70×50×65 см;дуб артизан/хром;ЛДСП/металл;сервировочный, на колёсах;-;12400
Спальня;Кровать;Лофт;160×200 см;-;лиственница/металл;на металлокаркасе;лофт;33200
Гостиная;Тумба под ТВ;Норд;180 см;ясень светлый;ЛДСП;скандинавский стиль;скандинавский;15700
Гостиница;Тумба прикроватная;-;50×40×55 см;дуб артизан;ЛДСП;с USB и розеткой;гостиничный;9800
Гостиная;Диван-кровать;Айова;200×95 см;светло-серая;рогожка/ЛДСП;еврокнижка;-;37400
Гостиная;Журнальница;Венеция;40×15×50 см;дуб артизан;ЛДСП;3-секционная, настенная;-;2400
Прихожая;Консоль;Беверли;140×35×80 см;орех/латунь;шпон ореха/металл;ножки латунь;-;24500
Ванная;Шкаф навесной;Венето;60×20×60 см;белый глянец;МДФ;2 дверцы;-;6400
Спальня;Стол туалетный;Орхидея;-;белый матовый;ЛДСП/стекло;с зеркалом-бабочка и ящиками;-;23400
Гостиная;Кресло;Шанхай;-;чёрный;дерево/лак;восточное, лакированное, резьба;классика;34700
Спальня;Кровать-бокс;Орфей;140×200 см;серая;рогожка/ЛДСП;ортопедическое основание в комплекте;-;39800
Спальня;Шкаф;Карина;90×55×240 см;ясень шимо;ЛДСП;2-дверный, с антресолью;-;22400
Балкон;Стол складной;-;D60 см;-;металл/тик;круглый, серия Лайт;-;3900
Гостиная;Кресло-реклайнер;Орлеан;-;чёрный;кожа PU;электроподъём, USB;-;72400
Гостиная;Диван модульный;Манхэттен;320×170 см;коричневая;кожа;электрический реклайнер;премиум;142800
Декор;Подставка под цветок;Венеция;40×40×90 см;бронза;металл;кованая;-;3200
Кухня;Кухонный остров;Палермо;180×90×90 см;чёрный матовый/дуб;ЛДСП/мрамор;с барной стойкой и индукцией;-;124700
Текстиль;Покрывало;Орхидея;220×240 см;нежно-сиреневый;атлас;в подарочной упаковке;-;7700
Декор;Картина;Барселона;80×60 см;-;холст/дерево;Парк Гуэль, рама дерево;-;4800
Освещение;Светильник точечный;Меридиан;-;белый;металл/LED;встраиваемый, 5 Вт, комплект 6 шт;-;2200
Гостиная;Реклайнер;Орлеан;-;коричневая;кожа/дерево;кресло-качалка с пуфом;-;42700
Кухня;Стол барный;Дакота;60×60×110 см;венге;ЛДСП;высокий;-;5800
Декор;Гирлянда;Флоренция;3 м;тёплый белый;LED/пластик;LED-розы, USB;-;1900
Гостиная;Журнальный столик;Карерра;D80 см;белый/латунь;натуральный мрамор/латунь;круглый;-;31700
Кабинет;Кресло компьютерное;Бергамо;-;серая;сетка/металл;поясничный упор, газлифт класс 4;-;14900
Декор;Картина;Стокгольм;60×80 см;-;холст/багет;Скандинавский лес;скандинавский;3900
Спальня;Туалетный столик;Ариэль;100×40×140 см;розовое золото;МДФ/стекло;с зеркалом и подсветкой LED;-;22800
Гостиная;Кресло-бергер;Виктория;-;пыльный голубой;велюр/дерево;классическое, каретная стяжка;классика;52400
Гостиная;Кресло-папасан;Бали;D110 см;серый;ротанг/велюр;натуральный ротанг;-;18700
Кабинет;Кресло компьютерное;Бергамо;-;синяя;сетка/металл;поясничный упор, газлифт класс 4;-;14900
Спальня;Кровать;Венеция;160×200 см;вишня;массив бука;классика;классика;58900
Декор;Шар декоративный;Орбита;-;-;мрамор/металл;сет 3 шт разного диаметра;-;3700
Декор;Статуэтка;Будда;30 см;бронза;металл;медитация;-;3700
Детская;Парта-трансформер;Школьник;-;голубой;ЛДСП/металл;детская растущая;детский;11200
Гостиная;Тумба под ТВ;-;120 см;белый глянец;ЛДСП/LED;с подсветкой;-;13500
Гостиная;Диван-канапе;Меран;1.5-местный;флор;гобелен/дерево;классический, ножки массив;классика;43800
Спальня;Комод;Минск;40×40×120 см;белый матовый;ЛДСП;узкий, пенал, 5 ящиков;-;14200
Прихожая;Зеркало;Прага;60×80 см;состаренная медь;дерево/стекло;с фоторамкой, 4 встроенные рамки;-;4700
Спальня;Комод;Версаль;60×40×120 см;белый/золотая патина;МДФ;узкий, 4 ящика;классика;18900
Гостиная;Полка настенная;Берлин;90×20 см;дуб сонома;ЛДСП;навесная;-;1400
Балкон;Столик складной;-;70×40 см;-;металл/тик;прямоугольный;-;4200
Спальня;Кровать водяная;Лагуна;180×200 см;графит;экокожа/ЛДСП;подогрев, виброгаситель;премиум;78900
Декор;Подставка под цветок;-;20×20×35 см;белая;керамика;глазурь;-;145000
Освещение;Люстра;Премиум;-;-;хрусталь/металл;6 ламп, под старину;классика;24700
Гостиная;Шкаф-горка;Меридиан;320×45×200 см;ясень шимо тёмный;ЛДСП/стекло;светодиодная подсветка;-;52800
Кухня;Стул барный;Турин;-;белая/хром;экокожа/металл;регулируемая высота;-;5400
Детская;Кровать;Зефир;80×160 см;розовый/белый;ЛДСП;детская, с бортиками;детский;14800
Детская;Стол письменный;Авангард;140×140 см;белый;ЛДСП;угловой, для двоих детей;детский;19400
Спальня;Кровать;Тюльпан;90×200 см;салатовый;велюр/ЛДСП;односпальная, мягкое изголовье;-;19700
Балкон;Стул складной;-;-;антрацит;текстилен/металл;с мягким сиденьем;-;3700
Спальня;Зеркало-трюмо;Палаццо;80×40×165 см;белый/золото;МДФ/стекло;с подсветкой и сенсором;-;33400
Прихожая;Зеркало напольное;Палаццо;70×180 см;золото с патиной;дерево/стекло;в раме барокко;классика;19400
Гостиная;Диван прямой;Бостон;3-местный;белый;кожзам/металл;ножки хром;-;38900
Спальня;Зеркало-трюмо;Версаль;90×40×170 см;золото;дерево/стекло;классическое, с подсветкой и пуфом;классика;36800
Текстиль;Шторы;-;2×140×260 см;светло-сиреневый;жаккард;серия Базовая;-;5900
Кухня;Стол обеденный;Эра;160×90 см;орех;дерево;овальный;классика;34900
Текстиль;Шторы блэкаут;Иней;2×150×270 см;серебристо-голубой;ткань;блэкаут;-;6700
Гостиная;Кресло-реклайнер;Бостон;-;коричневая;экокожа/металл;с подножкой, ручной механизм;-;28900
Гостиница;Кровать;Делюкс;180×200 см;серый;велюр/ЛДСП;с изголовьем-панелью;гостиничный;42700
Декор;Подставка цветочная;Флоренция;-;чёрный;металл;напольная, 5-ярусная;-;3800
Гостиная;Кресло Lounge;Стокгольм;-;серый меланж;ткань/бук;с пуфом, ножки бук;скандинавский;28900
Кухня;Стул барный;Турин;-;красная/хром;экокожа/металл;регулируемая высота;-;5400
Декор;Подсвечник;Флоренция;30×15 см;-;латунь;на 5 свечей, ветвящийся;-;2700
Кухня;Стол обеденный;Палермо;160×90 см;белый глянец/металл;ЛДСП/металл;раздвижной, опоры металл;-;19400
Балкон;Скамья складная;Альпина;90×40 см;кофе;искусственный ротанг;балконная;-;4900
Спальня;Кровать-бокс;Атлант;160×200 см;беж;рогожка/ЛДСП;интегрированный матрас, ниша;-;52400
Детская;Парта;Школьник;-;синяя;ЛДСП/металл;регулируемая, наклонная столешница;детский;14700
Кухня;Стол обеденный;Берлин;140×80 см;белый/дуб;ЛДСП/дерево;прямоугольный, раздвижной;-;24800
Спальня;Шкаф-купе;Стокгольм;200×60×220 см;дуб артизан;ЛДСП/зеркало;3-дверный;скандинавский;46800
Кабинет;Стол офисный;-;200×100 см;орех;шпон ореха/дерево;руководительский, с приставкой;-;87400
Спальня;Шкаф;-;200×55×210 см;ясень шимо тёмный;ЛДСП;4-дверный, серия Стандарт;-;38700
Гостиная;Диван угловой;Луара;280×170 см;изумрудный;велюр/ЛДСП;еврокнижка, ниша для белья;-;64200
Гостиная;Комод-консоль;Прага;110×35×85 см;орех;шпон ореха/дерево;классика;классика;26800
Спальня;Комод прикроватный;Орлеан;50×40×60 см;белый патина;МДФ;3 ящика;-;9700
Детская;Балдахин;Камелия;-;розовый с золотыми звёздами;тюль/металл;детский, на стойке;детский;4800
Декор;Ваза;-;D10×25 см;прозрачное;стекло;цилиндр;-;990
Декор;Фоторамка;Геометрия;25×25 см;-;латунь;шестигранник;-;1400
Прихожая;Ключница;Дания;40×8×25 см;дуб артизан;ЛДСП/дерево;настенная, с полкой и крючками;-;1800
Прихожая;Зеркало напольное;Орхидея;60×170 см;белый патина;дерево/стекло/LED;в раме с подсветкой;-;17800
Спальня;Кровать-бокс;Меридиан;160×200 см;графит;экокожа/ЛДСП;встроенный матрас;-;48700
Балкон;Столик складной;Альпина;60×40 см;-;металл/ротанг;балконный;-;3700
Кабинет;Кресло компьютерное;Бюрократ CH-868;-;чёрная;сетка/металл;эргономическое;-;7990
Кабинет;Стойка для ПК;Лофт;-;венге;ЛДСП/пластик;на колёсах;лофт;1900
Декор;Картина-постер;Барселона;40×60 см;-;бумага/дерево;Sagrada Familia, графика;-;1500
Кухня;Стул барный;Турин;-;кофейная/хром;экокожа/металл;регулируемая высота;-;5400
Прихожая;Прихожая;Модерн;160 см;белый глянец;ЛДСП/МДФ;с вешалкой и тумбой;-;24700
Гостиная;Стеллаж;Глория;50×35×170 см;чёрный/дуб светлый;металл/дерево;лестница, 5 полок;-;5200
Кухня;Стол фуршетный;-;D150 см;белый;металл/ткань;круглый, складной, на 10 персон;-;8400
Текстиль;Шторы рулонные;Модерн;80×170 см;серый;ткань;день-ночь;-;1700
Текстиль;Тюль;Венеция;400×270 см;бежевый;вуаль;готовый;-;3200
Кухня;Шкаф барный;Флоренция;60×20×60 см;дуб/чёрный;ЛДСП/дерево;настенный, держатели бокалов;-;6900
Спальня;Тумба прикроватная;Версаль;50×40×55 см;орех патина;дерево/МДФ;2 ящика, резьба;классика;14700
Спальня;Кровать;Натура;160×200 см;-;массив дуба;без матраса;-;52400
Детская;Кровать-машинка;Малыш;80×170 см;красная;ЛДСП/пластик;с матрасом, гоночная;детский;19700
Гостиная;Шкаф книжный;Венеция;120×40×220 см;белый/золото;дерево/стекло;со стеклянными дверцами;классика;78900
Кабинет;Кресло руководителя;Director;-;чёрное;натуральная кожа/металл;5-star base;-;28500
Гостиная;Диван прямой;Берлин;-;графит;рогожка/ЛДСП;аккордеон;-;31200
Гостиная;Полка-стеллаж;Орбита;-;-;металл/дерево;подвесная, 5 ячеек;-;4400
Гостиная;Кресло Lounge;Авангард;-;горчичный;велюр/металл;каркас металл;-;24700
Гостиная;Сервант;Венеция-Lux;160×40×190 см;орех;дерево/стекло/LED;подсветка LED, стеклянные дверцы;-;76800
Гостиная;Диван прямой;Эдинбург;230×100 см;тёмно-синий;велюр/ЛДСП;раскладной;-;42800
Кухня;Модуль кухонный;Палермо;80×60 см;серый кашемир;ЛДСП/фурнитура;нижний, 3 ящика soft-close;-;11400
Гостиная;Диван;Бергамо;160×85 см;светло-серая;рогожка/дерево;2-местный, на ножках, без раскладки;-;24700
Спальня;Кровать-бокс;Балтика;180×200 см;капучино;велюр/ЛДСП;пружинный блок независимый;-;59700
Кухня;Стул кухонный;Прага;-;белая/хром;экокожа/металл;хром + экокожа, комплект 2 шт;-;4800
Декор;Фоторамка;-;30×40 см;бронза/эмаль;металл/эмаль;дизайнерская, art-серия;-;2700
Прихожая;Зеркало;Венеция;D80 см;золочёный;дерево/стекло;настенное, круглое, рама с лепниной;классика;7800
Спальня;Кровать;Ренессанс;160×200 см;-;латунь;латунная, витые спинки, лакированная;классика;94800
Гостиная;Диван угловой;Луара;280×170 см;капучино;шенилл/ЛДСП;еврокнижка, ниша для белья;-;61700
Кухня;Стол обеденный;Тоскана;140–180×85 см;-;массив дуба;раздвижной;-;46900
Текстиль;Подушка декоративная;Тоскана;50×30 см;песочный;лён;валик, с кистями;-;1800
Хозтовары;Ящик поделочный;Мастер;40×25×20 см;-;сосна;натуральная, без крышки;-;1800
Освещение;Бра;Камея;-;бронза/янтарный;металл/стекло;2 шт в комплекте, плафон янтарный;-;6700
Детская;Парта ростовая;Авангард;-;белая;ЛДСП/металл;с электроподъёмом столешницы;детский;28700
Спальня;Кровать водяная;Луара;200×200 см;графит;экокожа/ЛДСП;king-size, подогрев;премиум;134800
Текстиль;Шторы рулонные;-;100×170 см;светло-голубой;ткань;день-ночь;-;1900
Ванная;Тумба под умывальник;Бергамо;80×45×55 см;белый матовый/дуб;МДФ/дерево;с одной дверцей;-;15400
Ванная;Зеркало;Полярная;60×80 см;-;стекло/металл;прямоугольное, антипар, IP44;-;9800
Спальня;Кровать;Шантильи;160×200 см;состаренное серебро;металл;кованая, букетный узор;классика;47200
Освещение;Торшер;Лофт;-;чёрный;металл;штатив, плафон чёрный;лофт;5400
Гостиная;Журнальный столик;Версаль;100×60 см;белый/латунь;мрамор кракелюр/латунь;овальный;классика;36800
Гостиная;Полка настенная;Орбита;30×30×60 см;белая;ЛДСП/металл;угловая;-;1300
Ванная;Тумба под раковину;Капри;60×45×80 см;дуб артизан/белый;ЛДСП/МДФ;напольная;-;11900
Текстиль;Покрывало;-;200×220 см;шампань/золото;атлас;стёганое, золотая строчка;-;5800
Гостиная;Журнальный столик;Бергамо;60×45 см;белый/латунь;мрамор/латунь;сервировочный, на колёсах;-;9800
Гостиная;Банкетка;Стокгольм;180×40×45 см;молочный;лён/дуб;ножки дуб артизан;скандинавский;14400
Кухня;Стол раскладной;Карина;90×60–150 см;ясень шимо;ЛДСП/дерево;раскладной;-;12700
Гостиная;Стенка-горка;Орхидея;300 см;белый глянец/розовая пудра;ЛДСП/стекло/LED;модульная, подсветка;-;48700
Текстиль;Покрывало;Тюльпан;220×240 см;оливковый;хлопок-сатин;летнее;-;4700
Спальня;Тумбочка;Соната;50×40×60 см;дуб сонома;ЛДСП;с ящиками;-;4700
Прихожая;Стойка для одежды;Натура;-;-;массив бука;с полкой для обуви;-;6800
Гостиная;Шкаф-витрина;Стокгольм;100×40×200 см;дуб артизан/белый;ЛДСП/стекло;скандинавский;скандинавский;36400
Кабинет;Полка книжная;Архив;100×25 см;орех;дерево/ЛДСП;настенная;-;1900
Гостиная;Журнальный столик;Натура;90×50 см;-;массив дуба;из массива;-;14500
Кухня;Гарнитур кухонный;-;2.4×1.8 м;белый матовый/дуб артизан;ЛДСП/МДФ;угловой;-;87900
Детская;Парта-трансформер;Олимп;110×55 см;белый/мятный;ЛДСП/металл;с пеналом и ящиками;детский;14700
Ванная;Шкаф-пенал;Венето;35×28×195 см;серый матовый;МДФ;узкий, с корзиной для белья;-;13400
Спальня;Тумба прикроватная;Натура;50×40×55 см;-;массив сосны;-;-;7900
Детская;Кровать;Берлин;90×200 см;белый глянец;ЛДСП;односпальная, подростковая;детский;12400
Спальня;Комод;Аделина;100×45×85 см;дуб сонома;ЛДСП;6 ящиков;-;13700
Спальня;Кровать водяная;Атлантик;200×200 см;-;ЛДСП/экокожа/LED;king-size, термоуправление, LED;премиум;124700
Декор;Ваза;Версаль;60 см;бежевый кракелюр;керамика;напольная;классика;4900
Ванная;Тумба под умывальник;Аква;100×45×60 см;серый шёлк/белый;МДФ/искусственный камень;со столешницей;-;22800
Гостиная;Шкаф-витрина;Корсика;100×40×200 см;состаренный белый/золото;дерево/стекло;классика;классика;43700
Спальня;Зеркало-трюмо;Аделаида;80×40×170 см;бук бавария;дерево/стекло;с тумбой и ящиками;-;28700
Детская;Кровать-домик;Сказка;80×190 см;белый;массив сосны;с крышей;детский;19800
Спальня;Кровать;Премьер;160×200 см;дуб артизан/белый матовый;ЛДСП;с тумбами в изголовье;-;36700
Декор;Картина;Виктория;70×100 см;-;холст/багет;Анфилада, золочёный багет;классика;6800
Текстиль;Покрывало;Адриатика;200×220 см;морская волна;хлопок жаккард;-;-;4900
Декор;Корзина;Флоренция;35×35×40 см;бежевый;ротанг;плетёная, декоративная;-;1900
Гостиная;Тумба под ТВ;Меридиан;160×40×45 см;орех/латунь;шпон ореха/металл;ножки латунь;-;19800
Гостиная;Кресло;Орлеан;-;горчичный;велюр/металл;ручной реклайнер;-;31900
Ванная;Тумба под умывальник;Лагуна;90×45×55 см;-;МДФ/искусственный камень;со столешницей;-;19800
Гостиная;ТВ-тумба;Дакота;160×40×45 см;дуб сонома/чёрный;ЛДСП/металл;-;-;9400
Гостиная;Кресло подвесное;Тропик;-;бежевый;натуральный ротанг;swing chair, с подушкой;-;34700
Гостиная;Шкаф-витрина;Аметист;120×40×210 см;орех/золото;дерево/стекло/LED;с подсветкой;классика;52800
Спальня;Зеркало-трюмо;Орхидея;75×40×155 см;белый глянец;МДФ/стекло;с пуфом;-;22400
Гостиная;Стенка-горка;Меган;300 см;ясень шимо светлый/тёмный;ЛДСП/стекло;ниша под ТВ;-;46700
Гостиница;Кресло;Стандарт;-;серая;рогожка/дерево;гостиничное, ножки массив;гостиничный;14200
